LD_INFO_SK,BTCH_NM,LD_STRT_TS,LD_END_TS,LD_DURTN_SCND,LD_STS,TNNT_SK,SRC_CD
1408037,BATCH_41,2020-07-02 18:06:58 EDT,2020-07-02 18:07:34 EDT,36,COMPLETED                                                                       ,1,SRC1
1408277,BATCH_42,2020-07-05 06:40:18 EDT,2020-07-05 06:51:36 EDT,678,COMPLETED                                                                       ,1,SRC1
1408397,BATCH_42,2020-07-06 11:35:38 EDT,2020-07-06 11:42:29 EDT,411,COMPLETED                                                                       ,1,SRC1
1408757,BATCH_41,2020-07-10 00:06:40 EDT,2020-07-10 00:07:21 EDT,41,COMPLETED                                                                       ,1,SRC1
1407917,BATCH_21,2020-07-01 17:30:25 EDT,2020-07-01 17:31:32 EDT,67,COMPLETED                                                                       ,1,SRC1
1408157,BATCH_41,2020-07-04 00:06:18 EDT,2020-07-04 00:06:58 EDT,40,COMPLETED                                                                       ,1,SRC1
1408637,BATCH_43,2020-07-08 18:06:14 EDT,2020-07-08 18:06:56 EDT,42,COMPLETED                                                                       ,1,SRC1
1408517,BATCH_44,2020-07-07 18:00:19 EDT,2020-07-07 18:01:23 EDT,64,COMPLETED                                                                       ,1,SRC1
1408997,BATCH_45,2020-07-13 12:00:11 EDT,2020-07-13 12:00:37 EDT,26,COMPLETED                                                                       ,1,SRC1
1409237,BATCH_46,2020-07-16 18:30:16 EDT,2020-07-16 18:30:45 EDT,29,COMPLETED                                                                       ,1,SRC1
1408877,BATCH_47,2020-07-11 12:00:13 EDT,2020-07-11 12:03:06 EDT,173,COMPLETED                                                                       ,1,SRC1
1409117,BATCH_7,2020-07-15 06:00:24 EDT,2020-07-15 06:19:21 EDT,1137,COMPLETED                                                                       ,1,SRC2
1407999,BATCH_42,2020-07-02 11:35:16 EDT,2020-07-02 11:42:05 EDT,409,COMPLETED                                                                       ,1,SRC1
1408839,BATCH_48,2020-07-11 00:00:45 EDT,2020-07-11 00:31:12 EDT,1827,COMPLETED                                                                       ,1,SRC3
1408599,BATCH_42,2020-07-08 09:35:43 EDT,2020-07-08 09:45:14 EDT,571,COMPLETED                                                                       ,1,SRC1
1408719,BATCH_41,2020-07-09 15:04:06 EDT,2020-07-09 15:04:42 EDT,36,COMPLETED                                                                       ,1,SRC1
1408359,BATCH_36,2020-07-06 03:25:09 EDT,,,STARTED                                                                         ,1,SRC4
1407879,BATCH_41,2020-07-01 05:03:07 EDT,2020-07-01 05:03:43 EDT,36,COMPLETED                                                                       ,1,SRC1
1408239,BATCH_41,2020-07-04 22:05:10 EDT,2020-07-04 22:05:58 EDT,48,COMPLETED                                                                       ,1,SRC1
1408119,BATCH_41,2020-07-03 15:03:37 EDT,2020-07-03 15:04:14 EDT,37,COMPLETED                                                                       ,1,SRC1
1408959,BATCH_1,2020-07-13 01:31:11 EDT,2020-07-13 06:49:13 EDT,19082,COMPLETED                                                                       ,1,SRC1
1409319,BATCH_49,2020-07-18 00:00:49 EDT,2020-07-18 00:05:57 EDT,308,COMPLETED                                                                       ,1,SRC5
1408479,BATCH_41,2020-07-07 08:04:48 EDT,2020-07-07 08:05:53 EDT,65,COMPLETED                                                                       ,1,SRC1
1409079,BATCH_50,2020-07-14 16:00:23 EDT,2020-07-14 16:14:28 EDT,845,COMPLETED                                                                       ,1,SRC1
1409199,BATCH_51,2020-07-16 10:00:16 EDT,2020-07-16 10:04:39 EDT,263,COMPLETED                                                                       ,1,SRC1
1408901,BATCH_42,2020-07-11 23:36:38 EDT,2020-07-11 23:43:25 EDT,407,COMPLETED                                                                       ,1,SRC1
1409021,BATCH_42,2020-07-13 21:42:29 EDT,2020-07-13 22:13:24 EDT,1855,COMPLETED                                                                       ,1,SRC1
1408061,BATCH_52,2020-07-03 00:00:44 EDT,2020-07-03 00:06:52 EDT,368,COMPLETED                                                                       ,1,SRC6
1408301,BATCH_47,2020-07-05 12:00:23 EDT,2020-07-05 12:06:38 EDT,375,COMPLETED                                                                       ,1,SRC1
1408421,BATCH_43,2020-07-06 18:06:34 EDT,2020-07-06 18:07:18 EDT,44,COMPLETED                                                                       ,1,SRC1
1407941,BATCH_3,2020-07-01 21:11:15 EDT,2020-07-01 21:51:31 EDT,2416,COMPLETED                                                                       ,1,SRC1
1408541,BATCH_53,2020-07-07 22:01:09 EDT,2020-07-07 22:01:53 EDT,44,COMPLETED                                                                       ,1,SRC1
1408181,BATCH_54,2020-07-04 07:01:58 EDT,2020-07-04 08:23:52 EDT,4914,COMPLETED                                                                       ,1,SRC1
